Quarter Hour,Upstream,Downstream
00:00,74,135
00:15,61,123
00:30,54,100
00:45,50,86
01:00,37,75
01:15,41,76
01:30,35,67
01:45,30,49
02:00,29,58
02:15,33,51
02:30,34,43
02:45,33,47
03:00,44,42
03:15,66,40
03:30,81,63
03:45,97,59
04:00,106,61
04:15,173,82
04:30,247,103
04:45,312,113
05:00,475,154
05:15,755,236
05:30,1124,334
05:45,1182,414
06:00,1389,507
06:15,1486,645
06:30,1458,714
06:45,1419,788
07:00,1401,772
07:15,1369,865
07:30,1352,968
07:45,1363,1002
08:00,1320,922
08:15,1348,874
08:30,1312,847
08:45,1292,890
09:00,1201,868
09:15,1198,848
09:30,1262,861
09:45,1180,880
10:00,1118,930
10:15,1105,969
10:30,1136,981
10:45,1062,972
11:00,1025,1025
11:15,1091,1038
11:30,1147,1087
11:45,1070,1086
12:00,1031,1096
12:15,1086,1113
12:30,1092,1078
12:45,1009,1096
13:00,941,1096
13:15,1027,1157
13:30,1030,1141
13:45,969,1153
14:00,975,1238
14:15,1049,1386
14:30,1020,1472
14:45,1006,1506
15:00,1001,1484
15:15,1076,1609
15:30,1043,1501
15:45,978,1472
16:00,1011,1439
16:15,995,1367
16:30,996,1267
16:45,936,1329
17:00,975,1307
17:15,951,1390
17:30,931,1270
17:45,872,1295
18:00,924,1229
18:15,867,1221
18:30,847,1065
18:45,779,931
19:00,695,811
19:15,616,769
19:30,524,660
19:45,453,653
20:00,463,613
20:15,453,602
20:30,446,592
20:45,385,575
21:00,397,597
21:15,423,632
21:30,356,630
21:45,297,581
22:00,273,498
22:15,260,485
22:30,215,417
22:45,189,369
23:00,162,330
23:15,142,283
23:30,126,223
23:45,101,193