step,action,upstream_demand,downstream_demand,upstream_flow,downstream_flow,upstream_speed,downstream_speed,upstream_density,downstream_density
1,0,7971.2426445655465,7028.7573554344535,720.0,720.0,0.9908566122536943,0.9995511174945585,0.005714285714285714,0.004761904761904762
2,0,8440.623028333213,6559.376971666787,1440.0,2160.0,0.9909931166389667,0.9921903622590439,0.007142857142857143,0.02142857142857143
3,2,8906.286249803605,6093.713750196395,2160.0,1440.0,0.9550348036561815,0.9440075295315417,0.017142857142857144,0.023809523809523808
4,2,9366.392096991747,5633.607903008253,720.0,720.0,0.9591012111674833,0.906479595914612,0.02142857142857143,0.025
5,0,9819.122319592892,5180.877680407108,1440.0,1440.0,0.9648774330467029,0.92660621039688,0.017142857142857144,0.04285714285714286
6,2,10262.687814359935,4737.312185640065,2880.0,3600.0,0.9353553013775543,0.916050231613142,0.03214285714285714,0.04285714285714286
7,2,10695.335695297257,4304.664304702743,3600.0,2160.0,0.922277369952932,0.9160673314806874,0.04285714285714286,0.037142857142857144
8,0,11115.356220730913,3884.6437792690867,2160.0,2880.0,0.922465326693772,0.9279618077001993,0.04642857142857143,0.04642857142857143
9,0,11521.089549880699,3478.9104501193015,5040.0,720.0,0.9124150631148111,0.9322700902196803,0.05142857142857143,0.07142857142857142
10,2,11910.93230223345,3089.06769776655,4320.0,3600.0,0.8922800259264893,0.9398862074246356,0.06785714285714285,0.05357142857142857
11,0,12283.34389379615,2716.656106203851,2880.0,4320.0,0.8703127157571775,0.9456343608435056,0.07142857142857142,0.06666666666666667
12,0,12636.852625189213,2363.1473748107874,7200.0,2880.0,0.8590663215780147,0.9162114584892435,0.08,0.06666666666666667
13,0,12970.06149752093,2029.93850247907,5040.0,2160.0,0.8653741429581414,0.916288753700425,0.06666666666666667,0.09285714285714286
14,2,13281.653733059906,1718.3462669400942,7920.0,720.0,0.8523043697408019,0.9206827407290468,0.1,0.06190476190476191
15,0,13570.397978888785,1429.6020211112154,7200.0,2880.0,0.8308645256492869,0.9254657429172949,0.09761904761904762,0.09285714285714286
16,0,13835.153172975466,1164.846827024534,7200.0,2160.0,0.837619182715835,0.9244369433198103,0.09591836734693877,0.17142857142857143
17,2,14074.87305343201,925.1269465679907,7920.0,2880.0,0.8361261564084994,0.9299781654758354,0.11666666666666667,0.07857142857142857
18,0,14288.610293141488,711.389706858512,9360.0,2160.0,0.8320671329969942,0.9357447032101135,0.10408163265306122,0.15714285714285714
19,2,14475.520243413579,524.479756586421,5040.0,2160.0,0.8422990228212731,0.9312248405314538,0.12142857142857143,0.08571428571428572
20,0,14634.864271874625,365.13572812537495,10080.0,2160.0,0.8583891904210256,0.9297063209240242,0.11020408163265306,0.17142857142857143
21,2,14766.01268140149,233.98731859851068,11520.0,2160.0,0.8637676302357268,0.9314832140190045,0.1261904761904762,0.07142857142857142
22,0,14868.447198564167,131.55280143583332,11520.0,2160.0,0.8670281912551738,0.9360191634294562,0.11632653061224489,0.12857142857142856
23,2,14941.76302174323,58.23697825676936,11520.0,720.0,0.8737921346836965,0.9436660107149811,0.14285714285714285,0.05714285714285714
24,0,14985.670420828417,14.329579171582736,10800.0,2160.0,0.8709222842855298,0.947398493283449,0.12653061224489795,0.1
25,0,14999.995882176609,0.0041178233914251905,12960.0,1440.0,0.8820850404434821,0.9514915186162902,0.13673469387755102,0.08571428571428572
26,0,14984.682794304548,15.317205695451776,14400.0,720.0,0.8933667920243619,0.961485427483727,0.1489795918367347,0.05714285714285714
27,0,14939.79167160661,60.20832839338982,12960.0,1440.0,0.893358506389476,0.9692541292633688,0.15918367346938775,0.05714285714285714
28,0,14865.499915213484,134.5000847865158,16560.0,1440.0,0.9001034413232237,0.9760805514716803,0.16326530612244897,0.04285714285714286
29,0,14762.101111936825,237.89888806317504,13680.0,0.0,0.8947222227496425,0.980881593203851,0.16326530612244897,0.04285714285714286
30,1,14630.003874070346,369.9961259296542,15840.0,0.0,0.8991694149287442,0.984625350221295,0.16326530612244897,0.04285714285714286
31,1,14469.730224632174,530.2697753678258,13680.0,720.0,0.9092434183522841,0.9866693106429136,0.15918367346938775,0.02857142857142857
32,1,14281.913534429736,718.0864655702644,11520.0,720.0,0.9166456940818735,0.9887240079754324,0.15714285714285714,0.02857142857142857
33,1,14067.296019099464,932.7039809005364,16560.0,720.0,0.9203668019969737,0.9902930859858574,0.1489795918367347,0.02857142857142857
34,1,13826.725806012571,1173.2741939874286,12960.0,0.0,0.9163120015860947,0.9914947261304181,0.1489795918367347,0.02857142857142857
35,1,13561.153582637897,1438.8464173621032,17280.0,0.0,0.9161996380533644,0.9924187795125675,0.1469387755102041,0.02857142857142857
36,1,13271.62883960685,1728.3711603931497,10800.0,1440.0,0.9132874516330811,0.9934557845439091,0.1510204081632653,0.04285714285714286
37,0,12959.2957233272,2040.704276672799,12960.0,720.0,0.909439747632952,0.9922399461787951,0.14285714285714285,0.02857142857142857
38,1,12625.388514535276,2374.611485464724,13680.0,0.0,0.9156327227926276,0.9948038029835842,0.13877551020408163,0.014285714285714285
39,1,12271.226750654603,2728.773249345397,15840.0,0.0,0.9226241631677461,0.9961072058504818,0.14285714285714285,0.014285714285714285
40,1,11898.210011236366,3101.789988763634,14400.0,1440.0,0.9274390224881641,0.9970851268712835,0.14081632653061224,0.014285714285714285
41,0,11507.812387088738,3492.1876129112625,7920.0,720.0,0.9226372195921375,0.8897605778382389,0.1489795918367347,0.02857142857142857
42,0,11101.576654951941,3898.4233450480588,14400.0,720.0,0.9208957932005332,0.8550771565712573,0.1469387755102041,0.04285714285714286
43,1,10681.108180739646,4318.891819260354,15840.0,0.0,0.9094197920159245,0.8680961165214672,0.15306122448979592,0.05714285714285714
44,1,10248.068575439953,4751.931424560047,17280.0,720.0,0.8853500374364716,0.8944874238670457,0.15510204081632653,0.05714285714285714
45,1,9804.169128746566,5195.830871253434,11520.0,2880.0,0.8755404703639666,0.8861374053625667,0.1489795918367347,0.08571428571428572
46,0,9351.164046369242,5648.835953630758,14400.0,3600.0,0.8770031564536056,0.8915095000854604,0.13877551020408163,0.08571428571428572
47,0,8890.843517748344,6109.156482251656,12240.0,1440.0,0.8831328069835278,0.8657297484215798,0.13673469387755102,0.12857142857142856
48,2,8425.026641568587,6574.973358431413,15120.0,1440.0,0.8743533131937986,0.8096862301309221,0.1306122448979592,0.17142857142857143
49,2,7955.554237028968,7044.445762971032,11520.0,720.0,0.8608537500476829,0.8249322634850305,0.15476190476190477,0.08571428571428572
50,0,7484.2815692773665,7515.7184307226335,13680.0,2160.0,0.8544814136466132,0.847767864080639,0.1326530612244898,0.17142857142857143
51,2,7013.0710177575575,7986.9289822424425,9360.0,5760.0,0.8637594278417078,0.8671920988187742,0.15714285714285714,0.1
52,0,6543.784716441836,8456.215283558164,8640.0,4320.0,0.8668858016817726,0.8345914015879593,0.1346938775510204,0.24285714285714285
53,2,6078.277195033751,8921.722804966248,12960.0,2880.0,0.8791478677847858,0.8002765776318185,0.15,0.1357142857142857
54,0,5618.388050221399,9381.611949778602,12240.0,4320.0,0.886408276987147,0.7491478954508018,0.12244897959183673,0.2571428571428571
55,2,5165.9346759431955,9834.065324056804,13680.0,7200.0,0.8962203511605522,0.6828439710308318,0.1357142857142857,0.18571428571428572
56,2,4722.705081394626,10277.294918605374,8640.0,5040.0,0.8802477513974061,0.5967868132037438,0.1357142857142857,0.18571428571428572
57,2,4290.450825157885,10709.549174842115,5040.0,3600.0,0.8811563018642797,0.5219507139639774,0.15428571428571428,0.12857142857142856
58,0,3870.880093377399,11129.1199066226,9360.0,3600.0,0.8951501081773949,0.4831810958419192,0.12380952380952381,0.22142857142857142
59,2,3465.6509493348763,11534.349050665123,9360.0,5040.0,0.9099937260159495,0.4559884214047583,0.14285714285714285,0.1761904761904762
60,2,3076.364781100378,11923.635218899622,10800.0,5040.0,0.889679561894843,0.45061186740306874,0.13714285714285715,0.2
61,2,2704.5599731529364,12295.440026847064,8640.0,3600.0,0.8503882750336641,0.42239409259814975,0.16785714285714284,0.14642857142857144
62,0,2351.705826979353,12648.294173020648,5760.0,4320.0,0.8339893968027609,0.4148551682960985,0.12285714285714286,0.20476190476190476
63,2,2019.1967546757494,12980.80324532425,5760.0,5760.0,0.8165379510121693,0.40570855799532857,0.1392857142857143,0.16428571428571428
64,2,1708.3467684976558,13291.653231502343,10080.0,4320.0,0.7606235323683024,0.41806457783211376,0.12857142857142856,0.175
65,2,1420.3842881349206,13579.615711865079,4320.0,5040.0,0.7051676879272218,0.4332702086529171,0.11428571428571428,0.175
66,2,1156.4472862320542,13843.552713767946,6480.0,5760.0,0.6797778899240847,0.4542120674938067,0.1,0.18571428571428572
67,2,917.5787913379812,14082.42120866202,2880.0,5760.0,0.6989999661003207,0.4688403817997638,0.13333333333333333,0.16
68,0,704.7227660567185,14295.277233943281,4320.0,5760.0,0.7093351650545071,0.45773420982532115,0.08928571428571429,0.21785714285714286
69,2,518.7203766877254,14481.279623312275,5040.0,5760.0,0.7365716431443403,0.4450984643314759,0.11428571428571428,0.17714285714285713
70,2,360.30666909755735,14639.693330902443,1440.0,4320.0,0.7262965766154973,0.4627062787912964,0.10952380952380952,0.18571428571428572
71,2,230.10766395920257,14769.892336040797,4320.0,7200.0,0.7007060424646885,0.4870527755709575,0.14285714285714285,0.15
72,0,128.63788283811712,14871.362117161883,5040.0,7920.0,0.6460419079485549,0.5217004569828871,0.08095238095238096,0.17714285714285713
73,2,56.298314901415125,14943.701685098586,2160.0,9360.0,0.5805655114227259,0.5582153600923294,0.10714285714285714,0.14047619047619048
74,0,13.374832285365512,14986.625167714634,2160.0,7920.0,0.5127514329525177,0.5732104299837152,0.07142857142857142,0.1742857142857143
75,2,0.03706038339629236,14999.962939616604,2160.0,10080.0,0.44208140683950814,0.5947529018269297,0.09285714285714286,0.1523809523809524
76,2,16.337707518980782,14983.66229248102,2160.0,5760.0,0.3927335033181899,0.617839530821479,0.09285714285714286,0.16428571428571428
77,2,62.212356652424084,14937.787643347576,0.0,9360.0,0.38657814641235283,0.6419762557846772,0.08571428571428572,0.1738095238095238
78,2,137.47971994468395,14862.520280055316,1440.0,8640.0,0.3849162168741534,0.6579848764671091,0.07857142857142857,0.17142857142857143
79,2,241.842355172239,14758.157644827761,720.0,11520.0,0.3728346258615573,0.6734408490911548,0.14285714285714285,0.15306122448979592
80,0,374.8878411618559,14625.112158838145,0.0,13680.0,0.37404680616383934,0.6908285104864764,0.06428571428571428,0.1880952380952381
81,1,536.0904076001938,14463.909592399807,1440.0,12240.0,0.4063250616678824,0.7105514454452679,0.06428571428571428,0.19285714285714287
82,2,724.8130127775169,14275.186987222483,720.0,10800.0,0.4147867756671549,0.7152421385660765,0.11428571428571428,0.16938775510204082
83,0,940.3098610546762,14059.690138945323,720.0,13680.0,0.4589505229787939,0.7222701145670364,0.05714285714285714,0.20952380952380953
84,1,1181.729350104846,13818.270649895154,0.0,12960.0,0.5124684687316753,0.7346601537905044,0.05714285714285714,0.21428571428571427
85,1,1448.1174362830218,13551.882563716978,1440.0,14400.0,0.5687689070988066,0.7435053831847438,0.05714285714285714,0.2119047619047619
86,2,1738.4214048240392,13261.57859517596,2160.0,14400.0,0.611339005797156,0.7630517583271798,0.1,0.17346938775510204
87,0,2051.494029969954,12948.505970030046,1440.0,17280.0,0.6522122873749643,0.7604880852045741,0.03571428571428571,0.2
88,1,2386.0981085868407,12613.90189141316,1440.0,15120.0,0.7531315644534001,0.7780559719311761,0.05714285714285714,0.19285714285714287
89,2,2740.911349354924,12259.088650645077,1440.0,10080.0,0.755754761354658,0.781525156946664,0.1,0.16326530612244897
90,0,3114.531598210951,11885.468401789049,720.0,12240.0,0.7897770012912213,0.7669365518502178,0.04285714285714286,0.1880952380952381
91,1,3505.4823793928904,11494.51762060711,2880.0,14400.0,0.8492695623266048,0.7715222280416735,0.06428571428571428,0.18571428571428572
92,2,3912.2187301897243,11087.781269810275,5760.0,13680.0,0.8020332151857796,0.78567972279872,0.15714285714285714,0.15714285714285714
93,0,4333.133306338588,10666.866693661412,1440.0,12960.0,0.8196741575665308,0.7758083494340474,0.09285714285714286,0.18571428571428572
94,2,4766.562733941848,10233.437266058152,720.0,10800.0,0.8360340910838662,0.782829399376441,0.18571428571428572,0.15714285714285714
95,0,5210.79418280262,9789.20581719738,1440.0,12960.0,0.8520083269465997,0.7639934230377518,0.08571428571428572,0.18571428571428572
96,2,5664.07213520209,9335.92786479791,2160.0,10080.0,0.8688491490071367,0.7586187997019792,0.15714285714285714,0.16326530612244897
97,0,6124.605323369743,8875.394676630258,6480.0,18720.0,0.8566590838225207,0.7626322944701578,0.1,0.15918367346938775
98,0,6590.573808231019,8409.42619176898,5760.0,12240.0,0.8808564993874044,0.7423204283253507,0.05714285714285714,0.2
99,2,7060.136171458413,7939.863828541587,1440.0,13680.0,0.8693875123302728,0.7486753832465151,0.11428571428571428,0.16326530612244897
